month_date,bin,job_typeid,ownership_id,borough,date_filed,date_completed,time_of_completion
2022-07-01,5087781,2,1,Staten Island,2021-11-08,2022-07-01,235
2021-10-01,5174604,2,1,Staten Island,2021-09-03,2021-10-21,48
2021-11-01,5077680,2,1,Staten Island,2021-10-07,2021-11-16,40
2022-05-01,5172121,2,1,Staten Island,2021-11-16,2022-05-20,185
2022-03-01,5018249,2,1,Staten Island,2021-09-29,2022-03-23,175
2022-02-01,5046859,2,1,Staten Island,2021-11-04,2022-02-17,105
2022-02-01,5066718,2,1,Staten Island,2021-11-04,2022-02-08,96
2022-03-01,5158319,2,1,Staten Island,2022-01-06,2022-03-08,61
2022-03-01,5080790,2,1,Staten Island,2022-01-13,2022-03-28,74
2022-03-01,5145167,2,1,Staten Island,2022-01-19,2022-03-23,63
2022-04-01,5175751,2,1,Staten Island,2022-03-08,2022-04-07,30
2022-08-01,5043092,2,1,Staten Island,2022-07-06,2022-08-10,35
2022-06-01,5083551,2,1,Staten Island,2022-04-22,2022-06-03,42
2022-07-01,5172163,2,1,Staten Island,2022-06-17,2022-07-01,14
2022-04-01,5011617,2,1,Staten Island,2021-12-06,2022-04-11,126
2022-02-01,5027643,2,1,Staten Island,2021-12-13,2022-02-28,77
2022-03-01,5172166,2,1,Staten Island,2022-01-11,2022-03-10,58
2022-01-01,5172141,2,1,Staten Island,2021-12-01,2022-01-20,50
2022-02-01,5030330,2,1,Staten Island,2022-01-18,2022-02-14,27
2022-02-01,5165967,2,1,Staten Island,2022-01-18,2022-02-14,27
2022-08-01,5175951,2,1,Staten Island,2022-05-24,2022-08-01,69
2022-05-01,5059877,2,1,Staten Island,2022-01-12,2022-05-11,119
2022-03-01,5085542,2,1,Staten Island,2022-01-18,2022-03-31,72
2022-04-01,5172212,2,1,Staten Island,2022-02-16,2022-04-26,69
2022-09-01,5082120,2,1,Staten Island,2022-06-29,2022-09-08,71
2022-06-01,5172157,2,1,Staten Island,2022-04-14,2022-06-03,50
2022-08-01,5163465,2,1,Staten Island,2022-06-29,2022-08-05,37
2022-11-01,5086707,2,1,Staten Island,2022-08-31,2022-11-02,63
2022-11-01,5088399,2,1,Staten Island,2022-06-06,2022-11-23,170
2022-05-01,5176968,2,1,Staten Island,2022-02-28,2022-05-18,79
2022-06-01,5172122,2,1,Staten Island,2022-02-28,2022-06-01,93
2022-04-01,5175694,2,1,Staten Island,2022-02-02,2022-04-21,78
2022-05-01,5058694,2,1,Staten Island,2022-03-24,2022-05-13,50
2022-04-01,5171580,2,1,Staten Island,2021-12-29,2022-04-28,120
2022-04-01,5174981,2,1,Staten Island,2022-01-24,2022-04-19,85
2022-05-01,5172153,2,1,Staten Island,2022-02-08,2022-05-03,84
2022-07-01,5082127,2,1,Staten Island,2022-02-17,2022-07-14,147
2022-06-01,5068053,2,1,Staten Island,2022-02-17,2022-06-23,126
2022-03-01,5172152,2,1,Staten Island,2022-01-27,2022-03-31,63
2022-04-01,5172134,2,1,Staten Island,2022-04-05,2022-04-26,21
2022-04-01,5172135,2,1,Staten Island,2022-04-05,2022-04-26,21
2022-04-01,5176537,2,1,Staten Island,2022-04-05,2022-04-26,21
2022-08-01,5061788,2,1,Staten Island,2022-05-27,2022-08-26,91
2022-08-01,5069292,2,1,Staten Island,2022-05-31,2022-08-22,83
2022-10-01,5011613,2,1,Staten Island,2022-06-03,2022-10-31,150
2022-10-01,5082771,2,1,Staten Island,2022-06-22,2022-10-14,114
2022-07-01,5172226,2,1,Staten Island,2022-02-11,2022-07-18,157
2022-08-01,5175937,2,1,Staten Island,2022-03-24,2022-08-01,130
2022-12-01,5175874,2,1,Staten Island,2022-06-09,2022-12-01,175
2022-06-01,5026725,2,1,Staten Island,2022-05-20,2022-06-17,28
2022-05-01,5143664,2,1,Staten Island,2022-04-28,2022-05-18,20
2022-06-01,5106753,2,1,Staten Island,2022-06-09,2022-06-30,21
2022-11-01,5084297,2,1,Staten Island,2022-06-09,2022-11-17,161
2022-04-01,5176121,2,1,Staten Island,2022-04-13,2022-04-25,12
2022-10-01,5114191,2,1,Staten Island,2022-08-31,2022-10-27,57
2022-09-01,5087168,2,1,Staten Island,2022-06-10,2022-09-02,84
2022-09-01,5176954,2,1,Staten Island,2022-07-15,2022-09-09,56
2022-11-01,5172209,2,1,Staten Island,2022-11-03,2022-11-22,19
2022-11-01,5172210,2,1,Staten Island,2022-11-03,2022-11-22,19
2022-10-01,5051175,2,1,Staten Island,2022-06-27,2022-10-17,112
2022-10-01,5175904,2,1,Staten Island,2022-07-13,2022-10-25,104
2022-05-01,5174630,1,1,Staten Island,2021-02-05,2022-05-12,461
2022-06-01,5174952,1,1,Staten Island,2021-02-07,2022-06-22,500
2022-08-01,5174950,1,1,Staten Island,2021-02-07,2022-08-23,562
2022-01-01,5174379,1,1,Staten Island,2021-02-12,2022-01-03,325
2022-10-01,5174995,1,1,Staten Island,2021-02-19,2022-10-19,607
2022-06-01,5171586,1,1,Staten Island,2021-02-25,2022-06-09,469
2022-01-01,5174805,1,1,Staten Island,2020-12-29,2022-01-13,380
2022-12-01,4623556,1,1,Queens,2021-04-09,2022-12-27,627
2022-05-01,4619605,1,1,Queens,2021-05-10,2022-05-23,378
2022-04-01,4623686,1,1,Queens,2021-04-20,2022-04-11,356
2022-09-01,4623687,1,1,Queens,2021-04-30,2022-09-27,515
2022-10-01,4623713,1,1,Queens,2021-05-10,2022-10-04,512
2022-06-01,4623711,1,1,Queens,2021-05-13,2022-06-06,389
2022-11-01,4623696,1,1,Queens,2021-08-09,2022-11-09,457
2022-09-01,4623810,1,1,Queens,2021-09-29,2022-09-26,362
2022-08-01,4623809,1,1,Queens,2021-09-29,2022-08-12,317
2022-06-01,4623833,1,1,Queens,2021-08-04,2022-06-23,323
2022-11-01,4624048,1,1,Queens,2021-11-15,2022-11-15,365
2022-08-01,4304998,1,1,Queens,2021-12-09,2022-08-26,260
2022-07-01,4617834,1,1,Queens,2021-05-14,2022-07-18,430
2022-07-01,4617833,1,1,Queens,2021-05-14,2022-07-01,413
2022-09-01,4617832,1,1,Queens,2021-09-20,2022-09-28,373
2022-10-01,4617831,1,1,Queens,2021-09-20,2022-10-25,400
2022-12-01,4617830,1,1,Queens,2021-09-22,2022-12-20,454
2022-12-01,4617829,1,1,Queens,2021-09-22,2022-12-20,454
2022-03-01,5174833,1,1,Staten Island,2021-04-09,2022-03-24,349
2022-05-01,5175032,1,1,Staten Island,2021-04-30,2022-05-17,382
2022-02-01,5174924,1,1,Staten Island,2021-03-25,2022-02-24,336
2022-08-01,5175036,1,1,Staten Island,2021-06-24,2022-08-11,413
2022-08-01,5175029,1,1,Staten Island,2021-06-24,2022-08-11,413
2022-05-01,5175033,1,1,Staten Island,2021-04-30,2022-05-17,382
2022-06-01,5175034,1,1,Staten Island,2021-04-30,2022-06-28,424
2022-05-01,5171122,1,1,Staten Island,2021-04-02,2022-05-31,424
2022-01-01,5174976,1,1,Staten Island,2021-04-09,2022-01-14,280
2022-10-01,5174968,1,1,Staten Island,2021-04-23,2022-10-05,530
2022-10-01,5174967,1,1,Staten Island,2021-04-23,2022-10-11,536
2022-08-01,5175002,1,1,Staten Island,2021-05-04,2022-08-01,454
2022-11-01,5088080,1,1,Staten Island,2021-06-03,2022-11-22,537
2022-06-01,5174993,1,1,Staten Island,2021-05-13,2022-06-23,406
2022-12-01,5174666,1,1,Staten Island,2021-05-10,2022-12-27,596
2022-08-01,5174887,1,1,Staten Island,2021-05-10,2022-08-11,458
2022-08-01,5175042,1,1,Staten Island,2021-07-15,2022-08-23,404
2022-10-01,5175101,1,1,Staten Island,2021-10-20,2022-10-11,356
2022-07-01,5174812,1,1,Staten Island,2021-07-30,2022-07-06,341
2022-11-01,5175138,1,1,Staten Island,2021-11-08,2022-11-14,371
2022-11-01,5175139,1,1,Staten Island,2021-11-08,2022-11-14,371
2022-07-01,5175216,1,1,Staten Island,2021-10-13,2022-07-25,285
